Genre,Genre_Total
Chinese Drama Ost,10
Alt Z,8
N/A,5
Pop,5
ALt Z,3
Dance Pop,3
Mandopop,2
R&B,2
Otacore,2
Show Tunes,2
Lofi,1
Kpop,1
Cpop,1
Indie Pop,1
Acoustic Pop,1
Gen Z Singer-songwriter,1
Chinese Singer-songwriter,1
J-acoustic,1
