Genre,Genre_Total
Chinese Drama Ost,13
Mandopop,12
N/A,6
Anime Rock,5
Chinese Manyao,2
Otacore,2
Genshin,1
Chinese Soundtrack,1
Cantopop,1
Chinese Pop,1
Chinese Viral Pop,1
Chinese Singer-songwriter,1
Pop,1
Dance Pop,1
Anime,1
Japanese Pop,1
